MIDDLE ENGLISH MEDICAL VOCABULARY DATABASE
======================================================================

Total terms: 29107


HERBS:
----------------------------------------------------------------------
serue                        2,215 occurrences (partial_match)
leffulle                         7 occurrences (partial_match)
avisede                          7 occurrences (partial_match)
borweth                          7 occurrences (partial_match)
roots                            7 occurrences (partial_match)
mansede                          7 occurrences (partial_match)
fennel                           7 occurrences
sewkeworth                       7 occurrences (partial_match)
shelyngworth                     7 occurrences (partial_match)
herbifore                        7 occurrences (partial_match)
leefulli                         7 occurrences (partial_match)
vansede                          7 occurrences (partial_match)
chosede                          7 occurrences (partial_match)
displeasede                      7 occurrences (partial_match)
persede                          7 occurrences (partial_match)
herbyfore                        7 occurrences (partial_match)
stalworthnes                     7 occurrences (partial_match)
herbam                           7 occurrences (partial_match)
hailsede                         7 occurrences (partial_match)
forwes                           7 occurrences (partial_match)
balefull                         7 occurrences (partial_match)
cleff                            7 occurrences (partial_match)
wortys                           7 occurrences (partial_match)
flourishing                      7 occurrences (partial_match)
morwespeches                     7 occurrences (partial_match)
supersedeas                      6 occurrences (partial_match)
sedentem                         6 occurrences (partial_match)
penyworthes                      6 occurrences (partial_match)
ruel                             6 occurrences (partial_match)
worthed                          6 occurrences (partial_match)
rotenesse                        6 occurrences (partial_match)
keruen                           6 occurrences (partial_match)
disseruen                        6 occurrences (partial_match)
relefes                          6 occurrences (partial_match)
construen                        6 occurrences (partial_match)
leeff                            6 occurrences (partial_match)
sagen                            6 occurrences (partial_match)
worthyne                         6 occurrences (partial_match)
oferrwerrc                       6 occurrences (partial_match)
forrwerrpesst                    6 occurrences (partial_match)
closeden                         6 occurrences (partial_match)
dresseden                        6 occurrences (partial_match)
altherbest                       6 occurrences (partial_match)
ceseden                          6 occurrences (partial_match)
dispisede                        6 occurrences (partial_match)
merueileden                      6 occurrences (partial_match)
loosede                          6 occurrences (partial_match)
lefed                            6 occurrences (partial_match)
lefen                            6 occurrences (partial_match)
sedechye                         6 occurrences (partial_match)
peruertiden                      6 occurrences (partial_match)
yleft                            6 occurrences (partial_match)
purueyen                         6 occurrences (partial_match)
keruere                          6 occurrences (partial_match)
proteccions                      6 occurrences (partial_match)
wroteth                          6 occurrences (partial_match)
ylefte                           6 occurrences (partial_match)
kerueinde                        6 occurrences (partial_match)
mesager                          6 occurrences (partial_match)
alesede                          6 occurrences (partial_match)
debrusede                        6 occurrences (partial_match)
seukeworth                       6 occurrences (partial_match)
heyworth                         6 occurrences (partial_match)
construed                        6 occurrences (partial_match)
chastisede                       6 occurrences (partial_match)
epirotes                         6 occurrences (partial_match)
cruelliche                       6 occurrences (partial_match)
valerianus                       6 occurrences (partial_match)
werwelle                         6 occurrences (partial_match)
rued                             6 occurrences (partial_match)
advertisede                      6 occurrences (partial_match)
bylefte                          6 occurrences (partial_match)
dolefull                         6 occurrences (partial_match)
harwen                           6 occurrences (partial_match)
herberi                          6 occurrences (partial_match)
worthes                          6 occurrences (partial_match)
herberde                         6 occurrences (partial_match)
stalwortly                       6 occurrences (partial_match)
beleft                           6 occurrences (partial_match)
flourished                       6 occurrences (partial_match)
urwe                             6 occurrences (partial_match)
noteworthy                       6 occurrences (partial_match)
sedere                           6 occurrences (partial_match)
merueill                         6 occurrences (partial_match)
worthyer                         5 occurrences (partial_match)
dolefulle                        5 occurrences (partial_match)
ouerwenyng                       5 occurrences (partial_match)
sleford                          5 occurrences (partial_match)
trustworthy                      5 occurrences (partial_match)
helefull                         5 occurrences (partial_match)
peruert                          5 occurrences (partial_match)
peruenit                         5 occurrences (partial_match)
skilefuly                        5 occurrences (partial_match)
derworthly                       5 occurrences (partial_match)
lefman                           5 occurrences (partial_match)
encressede                       5 occurrences (partial_match)
kenelworthe                      5 occurrences (partial_match)
slefe                            5 occurrences (partial_match)
reysede                          5 occurrences (partial_match)
protec                           5 occurrences (partial_match)
verwendung                       5 occurrences (partial_match)
despiseden                       5 occurrences (partial_match)
adonysedech                      5 occurrences (partial_match)
sagers                           5 occurrences (partial_match)
clansede                         5 occurrences (partial_match)
